name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Myles Garrett,Defensive End,Texas A&M,SEC,77.0,272.0,4.64,33.0,41.0,128.0,,,21.0,2,0,1,1,0,0,0,2.0,9.0,8.5,18.0,0.0,15.0,33.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Barnett,Defensive End,Tennessee,SEC,75.0,259.0,4.88,,31.0,117.0,6.96,4.44,21.0,1,0,0,1,0,0,0,5.0,16.0,13.0,40.0,0.0,19.0,56.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takkarist McKinley,Defensive End,UCLA,Pac-12,74.0,250.0,4.59,24.0,33.0,122.0,7.48,4.62,21.0,1,0,0,1,0,0,0,6.0,3.0,10.0,50.0,0.0,18.0,61.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Charlton,Defensive End,Michigan,Big Ten,78.0,277.0,4.92,25.0,33.0,116.0,7.17,4.39,22.0,1,0,0,0,1,0,0,2.0,8.0,9.5,20.0,0.0,13.0,39.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarcus Walker,Defensive End,Florida State,ACC,76.0,280.0,,18.0,,,,,22.0,2,0,0,1,1,0,0,2.0,4.0,16.0,45.0,0.0,20.5,67.0,0.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Willis,Defensive End,Kansas State,Big 12,76.0,255.0,4.53,24.0,39.0,125.0,6.85,4.28,22.0,1,0,0,0,1,0,0,3.0,4.0,11.5,34.0,0.0,17.5,52.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daeshon Hall,Defensive End,Texas A&M,SEC,77.0,266.0,4.76,18.0,36.0,123.0,7.03,4.38,22.0,4,1,1,1,1,0,0,1.0,12.0,3.5,28.0,0.0,13.0,50.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarell Basham,Defensive End,Ohio,Mid-American,76.0,269.0,4.7,15.0,31.5,119.0,7.27,4.35,23.0,1,0,0,0,0,1,0,2.0,10.0,11.5,30.0,0.0,15.0,50.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Hendrickson,Defensive End,Florida Atlantic,Conference USA,76.0,266.0,4.65,,33.5,122.0,7.03,4.2,22.0,1,0,0,0,1,0,0,2.0,7.0,9.5,25.0,0.0,14.0,50.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Lawson,Defensive End,Auburn,SEC,74.0,261.0,4.67,35.0,33.0,114.0,7.46,4.19,22.0,1,0,0,0,1,0,0,0.0,24.0,9.0,15.0,0.0,13.5,30.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Moss,Defensive End,Youngstown State,MVFC,75.0,264.0,4.79,14.0,32.5,114.0,7.25,4.43,22.0,4,1,1,1,1,0,0,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pita Taumoepenu,Defensive End,Utah,Pac-12,73.0,243.0,4.67,24.0,28.5,112.0,6.91,4.33,23.0,1,0,0,0,0,1,0,0.0,4.0,9.0,27.0,0.0,12.0,41.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Ledbetter,Defensive End,Arkansas,SEC,75.0,280.0,4.84,29.0,32.5,113.0,7.55,4.56,23.0,1,0,0,0,0,1,0,2.0,1.0,5.5,17.0,0.0,7.5,49.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifeadi Odenigbo,Defensive End,Northwestern,Big Ten,75.0,258.0,4.72,25.0,31.5,128.0,7.26,4.4,23.0,1,0,0,0,0,1,0,0.0,6.0,10.0,16.0,0.0,12.0,22.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Rochell,Defensive End,Notre Dame,FBS Independents,76.0,280.0,4.89,25.0,31.5,114.0,,,22.0,1,0,0,0,1,0,0,1.0,6.0,1.0,29.0,0.0,7.5,56.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keion Adams,Defensive End,Western Michigan,Mid-American,74.0,247.0,,,,,,,22.0,1,0,0,0,1,0,0,0.0,12.0,7.5,34.0,0.0,18.0,49.0,0.0,0.0,1.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat O'Connor,Defensive End,Eastern Michigan,Mid-American,77.0,277.0,,,,,,,23.0,1,0,0,0,0,1,0,3.0,14.0,7.5,15.0,0.0,13.0,39.0,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Chubb,Defensive End,NC State,ACC,76.0,269.0,4.65,24.0,36.0,121.0,7.37,4.41,22.0,3,0,1,1,1,0,0,2.0,9.0,10.0,39.0,0.0,25.0,72.0,,,,2018,0.0,0.0,1.0,1.0,7.0,10.5,33.0,0.0,21.5,55.0,,,,,,,,,,,,,,,,,,,,
Marcus Davenport,Defensive End,UTSA,Conference USA,78.0,264.0,4.58,22.0,33.5,124.0,7.2,4.41,22.0,2,0,0,1,1,0,0,4.0,8.0,8.5,33.0,0.0,17.0,55.0,0.0,0.0,1.0,2018,0.0,0.0,1.0,1.0,8.0,6.5,30.0,0.0,10.0,67.0,,,,,,,,,,,,,,,,,,,,
